ATIVO;DESC ATIVO;COMPONENTE;PROJETO;MDO;CODIGO;DESC CODIGO;FATOR I;FATOR R;FILTRO
;PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR;90212;RONDONIA;MATERIAL;90212;PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR;1.0;1.0;
;ISOLADOR PILAR PORC 8KN 220MM 300MM 15,0KV PL8CC;90253;RONDONIA;MATERIAL;90253;ISOLADOR PILAR PORC 8KN 220MM 300MM 15,0KV PL8CC;1.0;1.0;
;ISOLADOR PINO POLIMERICO CINZA 15,0KV 280MM 25MM ANEL;90275;RONDONIA;MATERIAL;90275;ISOLADOR PINO POLIMERICO CINZA 15,0KV 280MM 25MM ANEL;1.0;1.0;
;ISOLADOR PINO POLIMERICO CINZA 36,2KV 530MM 35MM ANEL;90276;RONDONIA;MATERIAL;90276;ISOLADOR PINO POLIMERICO CINZA 36,2KV 530MM 35MM ANEL;1.0;1.0;
;ISOLADOR SUSP BASTAO POLIM 15.0KV 370MM 380MM 50KN GO;90277;RONDONIA;MATERIAL;90277;ISOLADOR SUSP BASTAO POLIM 15.0KV 370MM 380MM 50KN GO;1.0;1.0;
;ISOLADOR SUSP BASTAO POLIM 36.2KV 550MM 745MM 50KN GO;90279;RONDONIA;MATERIAL;90279;ISOLADOR SUSP BASTAO POLIM 36.2KV 550MM 745MM 50KN GO;1.0;1.0;
;PINO ISOLADOR CURTO ACO M16 190MM 15KV;90280;RONDONIA;MATERIAL;90280;PINO ISOLADOR CURTO ACO M16 190MM 15KV;1.0;1.0;
;PINO ISOLADOR CURTO ACO M16 229MM 35KV;90281;RONDONIA;MATERIAL;90281;PINO ISOLADOR CURTO ACO M16 229MM 35KV;1.0;1.0;
ALCACAZ;ALCA PREF CORD ACO-ZN 9,50MM 6X2.54MM 660MM LRJ;90302;RONDONIA;MATERIAL;90302;ALCA PREF CORD ACO-ZN 9,50MM 6X2.54MM 660MM LRJ;1.0;1.0;
;ALCA PREF SERV ACO-ZINC 3,90-4,30MM 345MM MRM;90303;RONDONIA;MATERIAL;90303;ALCA PREF SERV ACO-ZINC 3,90-4,30MM 345MM MRM;1.0;1.0;
ALCA50;GRAMPO ANCOR DIELETR 15,0KV 14,0-16,5MM 50MM2 400DAN;90449;RONDONIA;MATERIAL;90449;GRAMPO ANCOR DIELETR 15,0KV 14,0-16,5MM 50MM2 400DAN;1.0;1.0;
ALCA120;GRAMPO ANCOR DIELETR 15,0KV 18,8-21,3MM 120MM2 400DAN;90450;RONDONIA;MATERIAL;90450;GRAMPO ANCOR DIELETR 15,0KV 18,8-21,3MM 120MM2 400DAN;1.0;1.0;
ALC185;GRAMPO ANCOR DIELETR 15,0KV 21,8-24,3MM 185MM2 400DAN;90451;RONDONIA;MATERIAL;90451;GRAMPO ANCOR DIELETR 15,0KV 21,8-24,3MM 185MM2 400DAN;1.0;1.0;
ALCA70;GRAMPO ANCOR DIELETR 36,2KV 25,3-28,6MM 70MM2 400DAN;90455;RONDONIA;MATERIAL;90455;GRAMPO ANCOR DIELETR 36,2KV 25,3-28,6MM 70MM2 400DAN;1.0;1.0;
ALCA12035;GRAMPO ANCOR DIELETR 36,2KV 28,6-31,9MM 120MM2 400DAN;90456;RONDONIA;MATERIAL;90456;GRAMPO ANCOR DIELETR 36,2KV 28,6-31,9MM 120MM2 400DAN;1.0;1.0;
ALCA18535;GRAMPO ANCOR DIELETR 36,2KV 31,6-34,9MM 185MM2 400DAN;90457;RONDONIA;MATERIAL;90457;GRAMPO ANCOR DIELETR 36,2KV 31,6-34,9MM 185MM2 400DAN;1.0;1.0;
;CONEC CUNHA RML COBR TP IV 2,54-6,55/1,27-4,65MM AZ;90474;RONDONIA;MATERIAL;90474;CONEC CUNHA RML COBR TP IV 2,54-6,55/1,27-4,65MM AZ;1.0;1.0;
;BRACO REDE COMP TIPO L 35KV SAE1010/20 600MM;90513;RONDONIA;MATERIAL;90513;BRACO REDE COMP TIPO L 35KV SAE1010/20 600MM;1.0;1.0;
;SUPORTE P/ISOLADOR PILAR 15KV 305X90X35MM;90524;RONDONIA;MATERIAL;90524;SUPORTE P/ISOLADOR PILAR 15KV 305X90X35MM;1.0;1.0;
;SUPORTE P/ISOLADOR PILAR 25/35KV 640X90X40MM;90525;RONDONIA;MATERIAL;90525;SUPORTE P/ISOLADOR PILAR 25/35KV 640X90X40MM;1.0;1.0;
;ANEL AMAR ELASTOMERICO P/ISOLADOR 15,0KV 45X110X160MM VRM;90538;RONDONIA;MATERIAL;90538;ANEL AMAR ELASTOMERICO P/ISOLADOR 15,0KV 45X110X160MM VRM;1.0;1.0;
;ANEL AMAR ELASTOMERICO P/ISOLADOR 36,2KV 60X182X245MM CNZ;90539;RONDONIA;MATERIAL;90539;ANEL AMAR ELASTOMERICO P/ISOLADOR 36,2KV 60X182X245MM CNZ;1.0;1.0;
;BRACO ANTI-BALANCO PEAD 15,0KV 305MM;90540;RONDONIA;MATERIAL;90540;BRACO ANTI-BALANCO PEAD 15,0KV 305MM;1.0;1.0;
;BRACO ANTI-BALANCO PEAD 36,2KV 565MM;90541;RONDONIA;MATERIAL;90541;BRACO ANTI-BALANCO PEAD 36,2KV 565MM;1.0;1.0;
;BRACO REDE COMP TIPO C 15KV SAE1010/20 580MM;90542;RONDONIA;MATERIAL;90542;BRACO REDE COMP TIPO C 15KV SAE1010/20 580MM;1.0;1.0;
;BRACO REDE COMP TIPO C 35KV SAE1010/20 650MM;90543;RONDONIA;MATERIAL;90543;BRACO REDE COMP TIPO C 35KV SAE1010/20 650MM;1.0;1.0;
;BRACO REDE COMP TIPO L 15KV SAE1010/20 354MM;90544;RONDONIA;MATERIAL;90544;BRACO REDE COMP TIPO L 15KV SAE1010/20 354MM;1.0;1.0;
;CHAVE FUS DIST PRC BASE C 15,0KV 315A 1F MAN SEC;90547;RONDONIA;MATERIAL;90547;CHAVE FUS DIST PRC BASE C 15,0KV 315A 1F MAN SEC;1.0;1.0;
;CHAVE FUS DIST PRC BASE C 36,2KV 315A 1F MAN SEC;90548;RONDONIA;MATERIAL;90548;CHAVE FUS DIST PRC BASE C 36,2KV 315A 1F MAN SEC;1.0;1.0;
;ESPACADOR LOSANG PEAD 15,0KV 340X460MM TRAV 3 COND;90567;RONDONIA;MATERIAL;90567;ESPACADOR LOSANG PEAD 15,0KV 340X460MM TRAV 3 COND;1.0;1.0;
;ESPACADOR LOSANG PEAD 36,2KV 550X750MM TRAV 3 COND;90568;RONDONIA;MATERIAL;90568;ESPACADOR LOSANG PEAD 36,2KV 550X750MM TRAV 3 COND;1.0;1.0;
;ISOLADOR PILAR PORC 8KN 400MM 720MM 36,2KV PL8CC;90580;RONDONIA;MATERIAL;90580;ISOLADOR PILAR PORC 8KN 400MM 720MM 36,2KV PL8CC;1.0;1.0;
CAPATR;CAPA PROT PEAD TRANSF MT 15/36,2KV 135X110MM;90586;RONDONIA;MATERIAL;90586;CAPA PROT PEAD TRANSF MT 15/36,2KV 135X110MM;1.0;1.0;
CAPAPR;CAPA PROT BORR SILIC PARA-RAIOS MT 15/36,2KV 70X97MM;90969;RONDONIA;MATERIAL;90969;CAPA PROT BORR SILIC PARA-RAIOS MT 15/36,2KV 70X97MM;1.0;1.0;
TR115M;TRANSF DISTR AER OMI 1F/N 7,969KV 240/120V 15KVA CL2 5TP;91008;RONDONIA;MATERIAL;91008;TRANSF DISTR AER OMI 1F/N 7,969KV 240/120V 15KVA CL2 5TP;1.0;1.0;
;TRANSF DISTR AER OMI 1F/N 19,919KV 240/120V 15KVA CL2 5TP;91014;RONDONIA;MATERIAL;91014;TRANSF DISTR AER OMI 1F/N 19,919KV 240/120V 15KVA CL2 5TP;1.0;1.0;
TR110M;TRANSF DISTR AER OMI 1F/N 7,969KV 240/120V 10KVA CL2 5TP;91027;RONDONIA;MATERIAL;91027;TRANSF DISTR AER OMI 1F/N 7,969KV 240/120V 10KVA CL2 5TP;1.0;1.0;
;TRANSF DISTR AER OMI 1F/N 19,919KV 240/120V 10KVA CL2 5TP;91028;RONDONIA;MATERIAL;91028;TRANSF DISTR AER OMI 1F/N 19,919KV 240/120V 10KVA CL2 5TP;1.0;1.0;
DT11/1000;POSTE DUPLO T 11/1000;111000;RONDONIA;MAO-DE-OBRA;1016;Poste Limpo (sem mat. ou equip.) 12 >=P> 600;1.0;1.0;
;POSTE DUPLO T 11/1000;111000;RONDONIA;MATERIAL;90196;POSTE DISTR CONCR DT 11M 1000DAN 360X490MM 140X182MM CL2;1.0;1.0;
DT11/1500;POSTE DUPLO T 11/1500;111500;RONDONIA;MAO-DE-OBRA;1016;Poste Limpo (sem mat. ou equip.) 12 >=P> 600;1.0;1.0;
;POSTE DUPLO T 11/1500;111500;RONDONIA;MATERIAL;90197;POSTE DISTR CONCR DT 11M 1500DAN 390X532MM 170X224MM CL2;1.0;1.0;
DT12/1000;POSTE DT 12/1000;121000;RONDONIA;MAO-DE-OBRA;1016;Poste Limpo (sem mat. ou equip.) 12 >=P> 600;1.0;1.0;
;POSTE DT 12/1000;121000;RONDONIA;MATERIAL;90200;POSTE DISTR CONCR DT 12M 1000DAN 380X518MM 140X182MM CL2;1.0;1.0;
DT12/1500;POSTE DUPLO T 12/1500;121500;RONDONIA;MAO-DE-OBRA;1016;Poste Limpo (sem mat. ou equip.) 12 >=P> 600;1.0;1.0;
;POSTE DUPLO T 12/1500;121500;RONDONIA;MATERIAL;90201;POSTE DISTR CONCR DT 12M 1500DAN 410X560MM 170X224MM CL2;1.0;1.0;
DT12/2000;POSTE CONCR DUPL T 12M 2000DAN 440X602MM 200X266MM CL II;122000;RONDONIA;MAO-DE-OBRA;1016;Poste Limpo (sem mat. ou equip.) 12 >=P> 600;1.0;1.0;
;POSTE CONCR DUPL T 12M 2000DAN 440X602MM 200X266MM CL II;122000;RONDONIA;MATERIAL;645570;POSTE CONCR DUPL T 12M 2000DAN 440X602MM 200X266MM CL II;1.0;1.0;
DT13/1000;POSTE DUPLO T 13/1000;131000;RONDONIA;MAO-DE-OBRA;1017;Poste Limpo (sem mat. ou equip.) 12=600;1.0;1.0;
;POSTE DUPLO T 13/1000;131000;RONDONIA;MATERIAL;90204;POSTE DISTR CONCR DT 13M 1000DAN 400X546MM 140X182MM CL2;1.0;1.0;
DT13/1500;POSTE DUPLO T 13/1500;131500;RONDONIA;MAO-DE-OBRA;1017;Poste Limpo (sem mat. ou equip.) 12=600;1.0;1.0;
;POSTE DUPLO T 13/1500;131500;RONDONIA;MATERIAL;90205;POSTE DISTR CONCR DT 13M 1500DAN 430X588MM 170X224MM CL2;1.0;1.0;
DT14/1000;POSTE DUPLO T 14/1000;141000;RONDONIA;MAO-DE-OBRA;1017;Poste Limpo (sem mat. ou equip.) 12=600;1.0;1.0;
;POSTE DUPLO T 14/1000;141000;RONDONIA;MATERIAL;91452;POSTE CONCR DUPL T 14M 1000DAN 420X574MM 140X182MM CL II;1.0;1.0;
DT14/1500;POSTE DUPLO T 14/1500;141500;RONDONIA;MAO-DE-OBRA;1017;Poste Limpo (sem mat. ou equip.) 12=600;1.0;1.0;
;POSTE DUPLO T 14/1500;141500;RONDONIA;MATERIAL;91452;POSTE CONCR DUPL T 14M 1500DAN 420X574MM 140X182MM CL II;1.0;1.0;
1ESTR;ARMAÇÃO SECUNDÁRIA DE 1 ESTRIBO;1 ESTRIBO;RONDONIA;MAO-DE-OBRA;1174;Armação Secundária de 1 Estribo;1.0;1.0;
;ARMAÇÃO SECUNDÁRIA DE 1 ESTRIBO;1 ESTRIBO;RONDONIA;MATERIAL;90393;ARMACAO SECUNDARIA ACO GALV 1 ESTRIBO 110X50X5,0MM 125X16MM;1.0;1.0;
;ARMAÇÃO SECUNDÁRIA DE 1 ESTRIBO;1 ESTRIBO;RONDONIA;MATERIAL;90389;ARRUELA QUADRADA ACO GALV 38X18X3MM;2.0;2.0;
;ARMAÇÃO SECUNDÁRIA DE 1 ESTRIBO;1 ESTRIBO;RONDONIA;MATERIAL;90295;ISOLADOR ROLDANA PORCELANA 79X76MM 1350DAN MRM;1.0;1.0;
;ARMAÇÃO SECUNDÁRIA DE 1 ESTRIBO;1 ESTRIBO;RONDONIA;MATERIAL;90365;PARAFUSO DISTR CAB QUAD ACO-GALV M16 350MM 5000DAN;1.0;1.0;
2ESTR;ARMAÇÃO SECUNDÁRIA DE 2 ESTRIBOS;2 ESTRIBOS;RONDONIA;MAO-DE-OBRA;1175;Armação Secundária de 2 Estribo;1.0;1.0;
